Territory	Date	t	N	S(t)	C(t)	I(t)	R(t)	D(t)
['SP, SP, *']	2020-12-17	296	46289333	43610690	2678643	170408	2419915	88320
['SP, SP, *']	2020-12-18	297	46289333	43597407	2691926	168699	2434600	88627
['SP, SP, *']	2020-12-19	298	46289333	43583025	2706308	171231	2446148	88929
['SP, SP, *']	2020-12-20	299	46289333	43568912	2720421	178446	2452757	89218
['SP, SP, *']	2020-12-21	300	46289333	43554333	2735000	184570	2460902	89528
['SP, SP, *']	2020-12-22	301	46289333	43537953	2751380	185138	2476396	89846
['SP, SP, *']	2020-12-23	302	46289333	43518607	2770726	186602	2493908	90216
['SP, SP, *']	2020-12-24	303	46289333	43502390	2786943	185838	2510581	90524
['SP, SP, *']	2020-12-25	304	46289333	43487980	2801353	184934	2525633	90786
['SP, SP, *']	2020-12-26	305	46289333	43476769	2812564	186009	2535546	91009
['SP, SP, *']	2020-12-27	306	46289333	43464747	2824586	192663	2540676	91247
['SP, SP, *']	2020-12-28	307	46289333	43453402	2835931	197644	2546821	91466
['SP, SP, *']	2020-12-29	308	46289333	43441553	2847780	200823	2555262	91695
['SP, SP, *']	2020-12-30	309	46289333	43430978	2858355	194775	2571668	91912
['SP, SP, *']	2020-12-31	310	46289333	43418462	2870871	181772	2596913	92186
['SP, SP, *']	2021-01-01	311	46289333	43406417	2882916	172610	2617848	92458
['SP, SP, *']	2021-01-02	312	46289333	43393670	2895663	171683	2631236	92744
['SP, SP, *']	2021-01-03	313	46289333	43380743	2908590	177549	2638016	93025
['SP, SP, *']	2021-01-04	314	46289333	43367624	2921709	178354	2650048	93307
['SP, SP, *']	2021-01-05	315	46289333	43354389	2934944	173041	2668303	93600
['SP, SP, *']	2021-01-06	316	46289333	43338694	2950639	169781	2686922	93936
['SP, SP, *']	2021-01-07	317	46289333	43323591	2965742	171047	2700459	94236
['SP, SP, *']	2021-01-08	318	46289333	43305103	2984230	181610	2708017	94603
['SP, SP, *']	2021-01-09	319	46289333	43284372	3004961	197065	2712867	95029
['SP, SP, *']	2021-01-10	320	46289333	43263026	3026307	212455	2718393	95459
['SP, SP, *']	2021-01-11	321	46289333	43241463	3047870	222751	2729234	95885
['SP, SP, *']	2021-01-12	322	46289333	43219951	3069382	227773	2745313	96296
['SP, SP, *']	2021-01-13	323	46289333	43198227	3091106	229686	2764703	96717
['SP, SP, *']	2021-01-14	324	46289333	43176607	3112726	231676	2783898	97152
['SP, SP, *']	2021-01-15	325	46289333	43154638	3134695	243838	2793256	97601
['SP, SP, *']	2021-01-16	326	46289333	43132036	3157297	258103	2801140	98054
['SP, SP, *']	2021-01-17	327	46289333	43109405	3179928	273394	2808025	98509
['SP, SP, *']	2021-01-18	328	46289333	43086796	3202537	281847	2821722	98968
['SP, SP, *']	2021-01-19	329	46289333	43063259	3226074	281715	2844918	99441
['SP, SP, *']	2021-01-20	330	46289333	43039968	3249365	278508	2870940	99917
['SP, SP, *']	2021-01-21	331	46289333	43017132	3272201	275845	2895968	100388
