Territory	Date	t	N	S(t)	I(t)	R(t)	D(t)
Sudeste, SP, *	2021-01-05	357	45919049	0	1486551	1381437	47222
Sudeste, SP, *	2021-01-06	358	45919049	0	1501085	1390292	47511
Sudeste, SP, *	2021-01-07	359	45919049	0	1515158	1400934	47768
Sudeste, SP, *	2021-01-08	360	45919049	0	1528952	1405451	48029
Sudeste, SP, *	2021-01-09	361	45919049	0	1540513	1408433	48298
Sudeste, SP, *	2021-01-10	362	45919049	0	1546132	1410849	48351
Sudeste, SP, *	2021-01-11	363	45919049	0	1549142	1412736	48379
Sudeste, SP, *	2021-01-12	364	45919049	0	1561844	1424789	48662
Sudeste, SP, *	2021-01-13	365	45919049	0	1577119	1436296	48985
Sudeste, SP, *	2021-01-14	366	45919049	0	1590829	1446292	49289
Sudeste, SP, *	2021-01-15	367	45919049	0	1605845	1450361	49600
Sudeste, SP, *	2021-01-16	368	45919049	0	1619619	1452410	49885
Sudeste, SP, *	2021-01-17	369	45919049	0	1625339	1455750	49945
Sudeste, SP, *	2021-01-18	370	45919049	0	1628272	1457847	49987
Sudeste, SP, *	2021-01-19	371	45919049	0	1644225	1470423	50318
Sudeste, SP, *	2021-01-20	372	45919049	0	1658636	1484343	50652
Sudeste, SP, *	2021-01-21	373	45919049	0	1670754	1497662	50938
Sudeste, SP, *	2021-01-22	374	45919049	0	1679759	1509819	51192
Sudeste, SP, *	2021-01-23	375	45919049	0	1694355	1519860	51423
Sudeste, SP, *	2021-01-24	376	45919049	0	1699427	1524944	51502
Sudeste, SP, *	2021-01-25	377	45919049	0	1702294	1527812	51556
Sudeste, SP, *	2021-01-26	378	45919049	0	1715253	1540124	51838
Sudeste, SP, *	2021-01-27	379	45919049	0	1731294	1554531	52170
Sudeste, SP, *	2021-01-28	380	45919049	0	1746070	1568621	52481
Sudeste, SP, *	2021-01-29	381	45919049	0	1759957	1583211	52722
Sudeste, SP, *	2021-01-30	382	45919049	0	1773024	1596608	52954
Sudeste, SP, *	2021-01-31	383	45919049	0	1777368	1602027	53034
Sudeste, SP, *	2021-02-01	384	45919049	0	1779722	1605021	53090
Sudeste, SP, *	2021-02-02	385	45919049	0	1794019	1620256	53455
Sudeste, SP, *	2021-02-03	386	45919049	0	1807009	1634586	53704
Sudeste, SP, *	2021-02-04	387	45919049	0	1820941	1646788	53997
Sudeste, SP, *	2021-02-05	388	45919049	0	1833163	1656364	54324
Sudeste, SP, *	2021-02-06	389	45919049	0	1845086	1670177	54545
Sudeste, SP, *	2021-02-07	390	45919049	0	1849334	1675227	54614
Sudeste, SP, *	2021-02-08	391	45919049	0	1851776	1678038	54663
Sudeste, SP, *	2021-02-09	392	45919049	0	1864977	1691392	55087
Sudeste, SP, *	2021-02-10	393	45919049	0	1878802	1706995	55419
